# LPT appendix p.158 (pdf_page: 171); inches; Z from the HPT exit plane, R radius, RTHETA tangential
# quality: faint scan; single read
surface,z_in,r_in,rtheta_in
suction,11.099155,19.634012,0.0
suction,11.093014,19.630962,-0.009709
suction,11.090810,19.629866,-0.023519
suction,11.092624,19.630768,-0.041350
suction,11.098593,19.633733,-0.063077
suction,11.108895,19.638834,-0.088532
suction,11.123746,19.646154,-0.117514
suction,11.143388,19.655771,-0.149802
suction,11.168070,19.667756,-0.185166
suction,11.198038,19.682155,-0.223380
suction,11.233511,19.698985,-0.264247
suction,11.274663,19.718217,-0.307611
suction,11.288110,19.724433,-0.321066
suction,11.288110,19.724433,-0.321066
suction,11.329916,19.743545,-0.360880
suction,11.372582,19.762716,-0.398476
suction,11.416522,19.782108,-0.433815
suction,11.462046,19.801643,-0.466672
suction,11.509570,19.821551,-0.496571
suction,11.559719,19.842213,-0.523021
suction,11.613142,19.863833,-0.545119
suction,11.669698,19.886281,-0.561665
suction,11.728662,19.909204,-0.571781
suction,11.788964,19.932129,-0.574831
suction,11.849322,19.954614,-0.570662
suction,11.908403,19.976492,-0.559447
suction,11.965283,19.997433,-0.541959
suction,12.019877,20.017420,-0.518747
suction,12.072233,20.036484,-0.490144
suction,12.122175,20.054574,-0.456451
suction,12.169637,20.071890,-0.418038
suction,12.214754,20.088514,-0.375242
suction,12.257787,20.104485,-0.328385
suction,12.299153,20.119942,-0.277834
suction,12.339247,20.135024,-0.223768
suction,12.378397,20.149843,-0.166273
suction,12.416852,20.164490,-0.105302
suction,12.454842,20.179048,-0.040849
suction,12.492612,20.193683,0.027063
suction,12.530356,20.208606,0.098493
suction,12.568075,20.223659,0.173573
suction,12.605877,20.238883,0.252213
suction,12.643963,20.254364,0.334092
suction,12.682564,20.270199,0.418687
suction,12.721714,20.286407,0.505407
suction,12.761393,20.302987,0.593693
suction,12.801609,20.319949,0.683122
suction,12.836328,20.334720,0.760089
pressure,11.099155,19.634012,0.0
pressure,11.106404,19.637603,0.003912
pressure,11.116581,19.642627,0.004723
pressure,11.129689,19.649071,0.002431
pressure,11.145747,19.656922,-0.002947
pressure,11.164806,19.666178,-0.011368
pressure,11.186974,19.676859,-0.022730
pressure,11.212450,19.689021,-0.036850
pressure,11.241563,19.702773,-0.053425
pressure,11.269928,19.716020,-0.069374
pressure,11.318711,19.738454,-0.095716
pressure,11.366053,19.759804,-0.119435
pressure,11.412038,19.780145,-0.139763
pressure,11.412038,19.780145,-0.139763
pressure,11.457245,19.799614,-0.157099
pressure,11.501592,19.818232,-0.171760
pressure,11.544666,19.836048,-0.183870
pressure,11.586155,19.852962,-0.193535
pressure,11.625644,19.868834,-0.201009
pressure,11.662508,19.883452,-0.206347
pressure,11.696099,19.896605,-0.209774
pressure,11.726556,19.908394,-0.211710
pressure,11.754605,19.919134,-0.212468
pressure,11.781316,19.929259,-0.212286
pressure,11.807971,19.939224,-0.211154
pressure,11.835906,19.949627,-0.208929
pressure,11.866037,19.960817,-0.205117
pressure,11.898456,19.972818,-0.199451
pressure,11.933114,19.985605,-0.191665
pressure,11.970185,19.999252,-0.181404
pressure,12.009735,20.013716,-0.168226
pressure,12.051633,20.028995,-0.151665
pressure,12.095613,20.044964,-0.131171
pressure,12.141260,20.061498,-0.106062
pressure,12.188179,20.078707,-0.075774
pressure,12.236042,20.096401,-0.039865
pressure,12.284601,20.114493,0.001872
pressure,12.333624,20.132903,0.049489
pressure,12.382867,20.151541,0.102863
pressure,12.432136,20.170336,0.161745
pressure,12.481431,20.189289,0.225845
pressure,12.530642,20.208720,0.295019
pressure,12.579569,20.228273,0.368914
pressure,12.627982,20.247851,0.447006
pressure,12.675845,20.267432,0.528469
pressure,12.723179,20.287016,0.612451
pressure,12.769976,20.306594,0.698352
pressure,12.809453,20.323276,0.772843
